appid,positive_count,total_count,name,primary_genre,popularity_tier,is_free,release_era,negative_count,positive_ratio,max_balanced_per_class,selection_score
973580,497,1306,Sniper Ghost Warrior Contracts,action_fps,high,False,classic,809,0.38055130168453294,497,540.3088072887467
500,337,895,Left 4 Dead,action_fps,high,False,classic,558,0.376536312849162,337,355.7270059423681
7670,459,1205,BioShock™,action_fps,medium,False,classic,746,0.3809128630705394,459,506.5357153204958
541200,509,787,GTTOD: Get To The Orange Door,action_fps,low,False,classic,278,0.6467598475222364,278,307.9329242098518
751630,673,1032,After the Fall®,action_fps,medium,False,recent,359,0.6521317829457365,359,366.8009320221218
9900,579,1397,Star Trek Online,exploration_open_world,high,True,classic,818,0.41445955619183966,579,609.0557505871604
517630,419,1141,Just Cause 4 Reloaded,exploration_open_world,high,False,classic,722,0.3672217353198948,419,460.6221320400211
2703850,448,619,Rooftops &amp; Alleys: The Parkour Game,exploration_open_world,medium,False,new,171,0.7237479806138933,171,197.23782158161188
1771300,436,1253,Kingdom Come: Deliverance II,exploration_open_world,high,False,new,817,0.3479648842777334,436,445.1702254926717
200260,386,1101,Batman: Arkham City - Game of the Year Edition,exploration_open_world,high,False,classic,715,0.3505903723887375,386,421.4036288898023
418240,610,1067,Shadow Tactics: Blades of the Shogun,puzzle_matching,high,False,classic,457,0.5716963448922212,457,487.592644736119
1592190,380,1110,BONELAB,puzzle_matching,high,False,recent,730,0.34234234234234234,380,398.3180921646846
22000,542,734,World of Goo,puzzle_matching,medium,False,classic,192,0.7384196185286104,192,213.5972509321058
40720,604,718,Samorost 2,puzzle_matching,low,False,classic,114,0.841225626740947,114,128.56145700990209
1141020,345,412,Adventure Escape Mysteries,puzzle_matching,high,True,recent,67,0.837378640776699,67,81.6072324267609
3156770,698,1310,Witchfire,rpg_action,high,False,new,612,0.5328244274809161,612,614.3225206359999
1056640,526,1288,Phantasy Star Online 2 New Genesis,rpg_action,high,True,recent,762,0.4083850931677019,526,551.7117219206806
525480,664,980,.hack//G.U. Last Recode,rpg_action,medium,False,classic,316,0.6775510204081633,316,355.25879806965065
633080,290,347,Relic Hunters Legend,rpg_action,low,False,new,57,0.8357348703170029,57,66.98368910791798
3564740,452,1172,Where Winds Meet,rpg_action,high,True,new,720,0.3856655290102389,452,482.37724259507195
285330,459,733,RollerCoaster Tycoon® 2: Triple Thrill Pack,casual,high,False,classic,274,0.626193724420191,274,321.44427686266664
1536090,772,965,Echoes of the Plum Grove,casual,high,False,new,193,0.8,193,233.41986740582306
206440,538,1389,To the Moon,casual,medium,False,classic,851,0.3873290136789057,538,546.5262061843646
2296990,551,869,We Were Here Expeditions: The FriendShip,casual,medium,False,recent,318,0.6340621403912543,318,322.8836057003192
251670,457,686,Battle Nations,casual,high,True,classic,229,0.6661807580174927,229,232.25257964926396
381210,326,903,Dead by Daylight,horror,high,False,classic,577,0.3610188261351052,326,348.0076246869801
218640,522,1179,Lucius,horror,medium,False,classic,657,0.44274809160305345,522,556.2116513256078
1544020,724,1521,The Callisto Protocol™,science_fiction,high,False,recent,797,0.4760026298487837,724,736.9389990800008
1268750,603,1447,Starship Troopers: Extermination,science_fiction,high,False,new,844,0.41672425708362126,603,648.4660201039391
698670,715,1576,Scorn,science_fiction,medium,False,recent,861,0.4536802030456853,715,739.7588455055635
233270,537,1317,Far Cry 3 - Blood Dragon,science_fiction,medium,False,classic,780,0.40774487471526194,537,543.1019117422389
2101960,713,1118,Cronos: The New Dawn,science_fiction,high,False,new,405,0.6377459749552773,405,438.12611421769907
1566200,676,855,Tape to Tape,sports,high,False,recent,179,0.7906432748538011,179,227.47923138822793
301120,603,710,Eastside Hockey Manager,sports,high,,unknown,107,0.8492957746478873,107,133.00340105889055
798290,145,211,MXGP PRO,sports,medium,False,classic,66,0.6872037914691943,66,93.33551396716399
1324350,399,492,Turbo Golf Racing,sports,low,False,new,93,0.8109756097560976,93,102.24272277627635
1364290,493,1139,Animalia Survival,survival,high,False,recent,646,0.43283582089552236,493,539.0937117511559
505230,642,1033,Pathologic 2,survival,high,False,classic,391,0.6214908034849952,391,437.9749470782094
328080,690,1261,Rise to Ruins,survival,medium,False,classic,571,0.5471847739888978,571,609.7566411680557
1306630,688,885,Lost Ruins,survival,low,False,recent,197,0.7774011299435029,197,226.89499894055425
1227280,550,764,Despot's Game: Dystopian Battle Simulator,survival,medium,False,recent,214,0.7198952879581152,214,258.7413675213825
429720,449,528,IMSCARED,hidden_object,low,False,classic,79,0.8503787878787878,79,88.79914312095725
2599300,255,308,Dead Signal,hidden_object,low,False,recent,53,0.827922077922078,53,55.2613644455269
1858630,422,676,SWORD ART ONLINE Fractured Daydream,anime,high,False,new,254,0.6242603550295858,254,295.43687545759644
1105510,485,727,Yakuza 5 Remastered,anime,high,False,recent,242,0.6671251719394773,242,261.4338644844741
589530,453,506,Hakuoki: Kyoto Winds,anime,medium,False,classic,53,0.8952569169960475,53,69.26651653816322
1353230,501,716,Bomb Rush Cyberfunk,anime,high,False,recent,215,0.6997206703910615,215,228.5674515886948
1181840,470,589,HIVESWAP: ACT 2,visual_novel,low,False,recent,119,0.797962648556876,119,136.83766633467945
