appid,primary_genre_query,name,type,release_date,is_free,developers,publishers,genres,short_description,num_reviews_in_query,review_score,review_score_desc,total_positive,total_negative,total_reviews
1566200,sports,Tape to Tape,game,"3 May, 2023",False,Excellent Rectangle,Excellent Rectangle,"Action, Sports, Early Access","Tape to Tape is a roguelite hockey game where every choice matters on your journey to build the best hockey team. Choose your path, hire unique players, discover synergies between them, pick unique abilities, bribe the referees or visit the Blademaster on your way to restore hockey's former glory.",100,,,,,
1324350,sports,Turbo Golf Racing,game,"4 Apr, 2024",False,Hugecalf Studios,Hugecalf Studios,"Action, Racing, Sports","An action-packed fusion of racing and golf. Traverse across a diverse range of courses, using your car to skilfully putt your ball in the hole. Face off against 7 opponents in Race mode, make every shot count in golf mode, or test your skills against the clock in Time Trials.",100,,,,,
2494350,sports,Pro Cycling Manager 2024,game,"6 Jun, 2024",False,Cyanide Studio,Nacon,"Simulation, Sports","Become a sports director, take part in the world's top cycling races and lead your riders to victory. Set race objectives, negotiate contracts, find new sponsors and build your team season after season.",72,,,,,
853200,sports,Shred! 2 - ft Sam Pilgrim,game,"24 Dec, 2018",False,ASBO Interactive,ASBO Interactive Ltd,"Action, Indie, Racing, Sports","Ride as Mountain Bike legend Sam Pilgrim, and use the advanced trick system to bust out insane combos in over 40 hand crafted levels. Created out of passion for the sport by a solo developer, Shred! 2 is the most authentic MTB gaming experience available!",100,,,,,
301120,sports,Eastside Hockey Manager,,,,,,,,100,,,,,
798290,sports,MXGP PRO,game,"29 Jun, 2018",False,Milestone S.r.l.,Milestone S.r.l.,"Racing, Simulation, Sports","Adjust your bike's configuration like a mechanic and win a race with the new Pro Physics. Practice in the Compound, a vast area where you can freely explore or compete against the AI. All the official tracks and riders from the 2017 season await you!",100,,,,,
2751350,sports,Golf Guys,game,"20 May, 2024",False,VOODOO,"QubicGames, Gamersky Games","Casual, Sports","Face off against a dozen opponents in an ultimate golf battle royale, or invite friends to play in multiplayer mode for up to 4 players!",2,,,,,
2185930,sports,Football Club Management 2023,game,"7 Dec, 2022",True,Go Play Games Ltd,Go Play Games Ltd,"Indie, Simulation, Sports, Strategy","Take control of a Real Football Club or create your own club, in Football Club Manager 2023 a fast-paced Football Club Management Game. Download Football Club Manager 2023 now for FREE &amp; start your Football management journey.",25,,,,,
2128140,sports,Deer Hunting - The Season,game,"7 Oct, 2022",False,Chaos Entertainment,Chaos Entertainment,"Simulation, Sports","Hunt Deer that act and react differently depending on the time of the season, weather and rut stage. Bucks very in size and you will be able to hunt monster bucks that have potential to score well over 200 inches. Each successful hunt gains you EXP and you can purchase / upgrade gear and firearms.",99,,,,,
2703280,sports,Climb Challenge - Find Items Cyberpunk,game,"3 Jan, 2024",False,Hede,Hede,"Action, Adventure, Casual, Indie, Racing, RPG, Simulation, Sports, Strategy","Hidden-object adventure game. The player needs to run around the location and look for objects in secret places, climbing into them along walls and ledges.",9,,,,,
1733170,horror,Killing Time: Resurrected,game,"17 Oct, 2024",False,"Nightdive Studios, 3DO","Nightdive Studios, Ziggurat",Action,"Journey into a mansion on the Island of Matinicus where you'll arrive to find the mansion full of hellacious demonic creatures. Solve deadly puzzles, uncover the secrets behind a famous mystery and discover an ancient artifact from the Pharaoh Ramses, if you can live long enough to find it.",100,,,,,
2194530,horror,Yog-Sothoth’s Yard,game,"19 Oct, 2023",False,Bone Nail,"Bone Nail, Shochiku (Japan)","Indie, RPG, Simulation","Manage a hotel and hire employees including Death, a dragon, a Demon-Slayer, and a bioroid maid. Build your wealth through various means and refine your strategies based on the predictions of Oracles. Your choices will determine which employees become enamored with you.",100,,,,,
3498650,horror,Cut That Wire,game,"22 Oct, 2025",False,WakaStudio,WakaStudio,"Casual, Indie",Deadly space station and heart skipping card game. “Old Maid”: Win the game or risk cutting the right wire and avoid being ejected to space.,86,,,,,
381210,horror,Dead by Daylight,game,"14 Jun, 2016",False,Behaviour Interactive Inc.,Behaviour Interactive Inc.,Action,"Trapped forever in a realm of eldritch evil where even death is not an escape, four determined Survivors face a bloodthirsty Killer in a vicious game of nerve and wits. Pick a side and step into a world of tension and terror with horror gaming's best asymmetrical multiplayer.",100,,,,,
