appid,recommendationid,review_text,voted_up,timestamp_created,votes_up,votes_funny,weighted_vote_score,comment_count,playtime_at_review_minutes,playtime_forever_minutes,steamid
317040,38119696,"Such an old classic that, prior to me getting it on Steam, thought it was virtually not known at all. Played it first when I was young, as my dad had it. I was super happy when I actually saw it come to Steam. Definitely one of the early games of the FPS-RPG genre, if not the original. Graphics like Doom, but a semi-open world to explore and interact with in whichever way you really choose. I'd say this would be like a more sci-fi version of Elder Scrolls 1 and 2, albeit a bit more limited than those games.",True,1512617638,1,0,0.5,0,35,35,76561198040610649
317040,35721505,It was games like this that opened the door for the system shock  and later the dues ex and bioshocks. It is esistntially a remastered old school shooter with rpg type elements  and story thrown in. The level design is pretty hard at times put its still fun. Overall really enjoying it. Played it back in the day but didnt finish it so its nice to have a chance to revisit it.,True,1507994963,5,0,0.512883603572845459,1,51,128,76561198067054607
317040,13342506,This game was amazing when I first bough it in 1996 and to be honest it still is a good game if you like retro games. If you enjoy playing games such as doom then pick this up and it will blow your mind.,True,1418468299,14,0,0.51780933141708374,1,39,151,76561197960649169
317040,13365949,"A great game, I used to play the demo of it back then when I was a kid ( and my goodness, with the demo I went nuts and played for days the same thing ). It's good to be able to play the full version + graphic extras, mouse is working normally here ( which is a good thing ! ) ... another good thing for ME it's now that I understand english and can actually know what is happening in-game.

Game itself is very good even if it's an old for these reasons:
- Not just a shooter, you can get quests ( and even fail some depending on which quest you start first )
- Your character is pretty much terrible at aim, but you can get ""Training"" which increase your accuracy ( very interesting )
- Characters design and world design is pretty good, voice actors are good for the time it was released.",True,1418577672,4,0,0.527559041976928711,1,221,225,76561197984764771
317040,27588866,"A game from my childhood, they just made it BETTER.
A real time-warrior game that can seriously withstand time.

Even with an outdated graphics, it still makes you immerse on the small universe of Strife and have some hours of fun.",True,1480130264,0,0,0.5,0,202,202,76561197972270956
317040,96787666,Strife was an incredibly influential hidden gem back in 1996.  It brought RPG and adventure elements to FPS gameplay.  Many games after expanded on what it did.   Strife Veteran Edition is a faithful update to the original.  They cleaned up the graphics and added a few enhancements to the game engine and user interface.  Highly recommended.,True,1627873073,0,0,0.5,0,47,81,76561198016255486
317040,36376123,"I've been a fan of Strife since its original release. In 1996 a FPS game with choices, alternate endings and travel hubs/revisitable areas was mostly unheard of. Strife delivered an amazing gameplay experience that to my mind was unmatched at the time.

I've returned to this game multiple times over the years and am loving this release with 'updated' graphics.",True,1510150952,1,0,0.520387709140777588,1,13,783,76561198029679326
317040,53426123,A great remaster of a piece of gaming history.,True,1562189458,0,0,0.48350822925567627,0,88,88,76561197961374009
317040,117941101,"Damn, I can't believe I missed this diamond in the rough when it first came out. I haven't even heard of it until today and I am really captivated by the story-line. Everyone used to give Half Life and  Deus Ex as the first rpg shooters but this one preceded both and it is actually very good and addictive once you really get stuck in.
Now you can enjoy it with high resolutions and a nicer graphical do-over. Get this game as it really is a a diamond in the rough. If you play on a difficulty higher than veteran, its harder than the dark souls series by a country mile.....",True,1656609444,1,0,0.496240615844726562,1,48,48,76561198000469482
317040,83583307,"This is not an above average game, THIS IS LIFELONG STRIFE!!
Fight for the Front and Freedom! Move out!

10 ROSS SCOTS out of 10",True,1609350911,5,0,0.594470083713531494,1,66,86,76561198003953120
