appid,recommendationid,review_text,voted_up,timestamp_created,votes_up,votes_funny,weighted_vote_score,comment_count,playtime_at_review_minutes,playtime_forever_minutes,steamid
589530,131001318,"It is a good game and well put together. This is part one of the game, Edo Blossoms is the second. You do need both games to complete the character's routes.",True,1673914778,0,0,0.5,0,681,1384,76561198825540276
589530,142018081,hijikata my beloved,True,1689285759,0,0,0.5,0,701,701,76561198169971846
589530,128497136,I enjoyed playing through everyone's routes and was pleasantly surprised by characters like Ryouma Sakamoto's route which had a completely different feel than the others. Plus he's voiced by Daisuke Ono ;),True,1670952910,0,0,0.5,0,758,762,76561198098758553
589530,193054025,"I've recently gotten into visual novels, so a friend turned me onto this game and its sequels, Edo Blossoms. So far with this game (I'm about 14 hours in) the art is fantastic. The story is interesting. Love the music. The romances also seem so intriguing that I can't decide which one I want yet lol. Excited to finish this game.",True,1745012862,0,0,0.5,0,880,1482,76561198142647540
589530,69663884,Engaging and great storyline. Got excellent graphics and music. Make me tear up gg cause it sweet and dramatic at same time. Great game!,True,1590238619,0,0,0.5,0,196,196,76561198264701437
589530,91464126,"i've played Hakuoki since PSP version, and until now I still fall in love with this francise.. I mean, I can't stop falling from Hijikata-san, lol i'm sorry.. but i recommend this game if you love ikemen samurai and history of Japan, (well mix with some fiction too) xD",True,1620200944,0,1,0.5,0,919,1099,76561198274550830
589530,172166159,i want to romance hot japanese men,True,1723719823,2,1,0.541984736919403076,1,674,4640,76561198963031963
589530,94740138,"This is a very complex otome visual novel. There are twelve men to woo, each with their own routes. Dependant on what you decide you can end up with one of them. Note: this is the first half of a two-parter. Far as I can tell, there isn't any real... action in this game. I should also note that it appears all twelve are historical figures, and your actions might allow them to survive their real-world demises...

Additionally, bad endings and unrequited love endings are also possible. And probably necessary for some of the achievements. 

Highly recommend, but leave a few days to complete. Also, suggest getting both volumes at the same time.",True,1625065545,4,0,0.564534366130828857,0,572,1917,76561198069159152
589530,71193930,"There's a reason a lot of Otome players recommend this game, it's really good. While Kyoto Winds is less focused on the romantic scenes, you do get some really sweet moments here and there with the characters, but as a whole this game is far more focused on the story and plot, which were very dramatic and enjoyable. I got Kyoto Winds and Edo Blossoms as part of a bundle, and yet I am putting off Edo Blossoms until I can see more of the scenes in Kyoto Winds, of course you have to have some appreciation for the old Japanese history and culture portrayed in this game. It took me a while to get used to some of the terminology and historical references and such, but all the characters are so charming and the voice acting is superb to go along with the beautifully animated sprites and artwork. Definitely worth playing in my opinion if you like otome games. Buy it for the thirst, keep playing for the plot, Enjoy.",True,1592859714,0,0,0.5,0,633,858,76561198007420558
589530,182050743,"The classic otome game. 
The trophy names are kinda funny.
Recommended if you like historical and blood-sucking story.
Buy in a bundle with Edo Blossom!",True,1733503419,1,0,0.5,0,779,779,76561198872664849
589530,102347343,it has the well written story and each of the romances are so diverse. I quite love playing this game very much.,True,1636235558,0,0,0.5,0,533,2963,76561198303276245
589530,119017403,susumu yamazaki my beloved,True,1658160561,3,1,0.547803580760955811,0,640,2451,76561199092188958
589530,72326548,It's so good I'm happy I didn't have a life anymore anyway.,True,1594247394,9,2,0.649446487426757812,0,711,1281,76561198103153909
589530,165527873,Heisuke is in it,True,1715949644,0,0,0.5,0,800,1465,76561198413236477
589530,62397709,"Amazing voice acting and a story that pulls you into the world. Be prepared to read a book with because this first game is more about history mixed in with fictional twists. After reading through it once for a full route, it was easier to breeze through the repeat text and just focus on the new lines with the current route. The second game Edo Blossoms is more just about the romance for those interested. I did my play-through by picking one character, then playing through their Kyoto Winds followed by their Edo Blossoms' route before going back to the first game with a new character. It made the story more complete and rewarding. There is a surprising amount of replay value between these two games.",True,1579975495,0,0,0.5,0,792,4019,76561198093044372
589530,87781114,I too love politics... and cute anime men.,True,1614777328,10,5,0.652082264423370361,0,518,2276,76561198088553542
